Country Name,"Country Code","Series Name","Series Code","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]","2024 [YR2024]","2025 [YR2025]"
Colombia,"COL","Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population)","SI.POV.DDAY","8","7.3","7.4","8.8","13.5","11.2","9.3","7.7","..",".."
Colombia,"COL","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","311102697309.253","290428821000.275","311265472385.815","330794134537.588","296080308248.983","322872875619.624","339395556322.041","351813865866.174","372103195554.683",".."
Colombia,"COL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","6560","6030","6350","6630","5850","6310","6560","6720","7040",".."
Colombia,"COL","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","658039414706.677","681250506662.521","728608189905.724","789964918998.858","778428458201.729","881765810050.178","1041653853681.36","1083014122509.35","1157674423812.46",".."
Colombia,"COL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","13870","14150","14860","15830","15370","17230","20130","20700","21890",".."
Colombia,"COL","Income share held by lowest 20%","SI.DST.FRST.20","3.9","4.1","4","3.7","3.1","3.1","3.2","3.4","..",".."
Colombia,"COL","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","76.228","76.418","76.579","76.793","74.757","72.698","76.508","77.725","..",".."
Colombia,"COL","Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","1.719","1.717","1.715","1.71","1.694","1.68","1.663","1.645","..",".."
Colombia,"COL","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","66.84","65.985","65.17","64.278","62.885","62.023","60.175","59.473","..",".."
Colombia,"COL","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","..","..","..","..","..","..","..","..","..",".."
Colombia,"COL","Births attended by skilled health staff (% of total)","SH.STA.BRTC.ZS","95.9","99.3","98.4","98.8","..","..","..","..","..",".."
Colombia,"COL","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","15.1","14.6","14.1","13.7","13.2","12.8","12.4","12","..",".."
Colombia,"COL","Prevalence of underweight, weight for age (% of children under 5)","SH.STA.MALN.ZS","3.7","..","..","..","..","..","..","..","..",".."
Colombia,"COL","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","93","93","95","95","90","86","88","93","93",".."
Colombia,"COL","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","103.139930725098","106.373252868652","105.578002929688","103.543678283691","99.6276016235352","99.1944732666016","97.1171035766602","..","..",".."
Colombia,"COL","School enrollment, primary (% gross)","SE.PRM.ENRR","115.443153381348","113.305381774902","111.699180603027","109.355506896973","107.083686828613","106.488357543945","104.830467224121","..","..",".."
Colombia,"COL","School enrollment, secondary (% gross)","SE.SEC.ENRR","98.4156265258789","99.2193298339844","100.373336791992","101.989349365234","101.499450683594","102.987998962402","101.573776245117","..","..",".."
Colombia,"COL","School enrollment, primary and secondary (gross), gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","1.01984000205994","1.0140700340271","1.01321005821228","1.01104998588562","1.00679004192352","..","..","..","..",".."
Colombia,"COL","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.5","0.5","0.5","0.6","0.6","0.6","0.6","0.6","0.6",".."
Colombia,"COL","Forest area (sq. km)","AG.LND.FRST.K2","599594.9","597397.7","595404.8","593412","591419.1","589426.267","587433.389","585440.541","..",".."
Colombia,"COL","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","9.4","12.7","15.7","15.7","17","17","16.7","16.7","26.4",".."
Colombia,"COL","Annual freshwater withdrawals, total (% of internal resources)","ER.H2O.FWTL.ZS","0.935161305361305","0.982415850815851","0.998046153846154","1.01899533799534","1.05651608391608","1.09753333333333","1.13117202797203","..","..",".."
Colombia,"COL","Urban population growth (annual %)","SP.URB.GROW","1.04237157660807","1.478535433614","1.91157850356555","2.01760208281262","1.66675683392305","1.34818422237933","1.34094381830841","1.4140540184926","1.3876355674663",".."
Colombia,"COL","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","910.977529760876","859.140165402896","816.327425217962","889.78306823908","810.052298592826","872.65899160931","851.232776568033","862.634681996071","..",".."
Colombia,"COL","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","1478.42913852649","1533.06352290717","1466.90025072176","1531.81900651769","1470.27462790488","1514.11928689074","1528.08546083702","1552.83278166352","..",".."
Colombia,"COL","GDP (current US$)","NY.GDP.MKTP.CD","282720100286.228","311866875156.879","334198218098.276","323031701192.84","270348342541.465","318524633225.395","345632492851.448","366291836137.916","418818154879.271",".."
Colombia,"COL","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2.08738250162794","1.35936086788746","2.56432428277704","3.18685539245533","-7.18591413760859","10.8011981904878","7.32827729427979","0.712380031974334","1.5983315366523",".."
Colombia,"COL","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","5.14833430514589","5.13373589963346","4.63057967327826","4.00262054293638","1.48172462037553","7.80211309545884","14.9250366806978","6.9523623210511","5.99783417221356",".."
Colombia,"COL","Agriculture, forestry, and fishing, value added (% of GDP)","NV.AGR.TOTL.ZS","6.60641226605787","6.38966355268118","6.22570968960033","6.41072082168314","7.50848046663348","7.77187301385002","8.83154473689041","8.80792294653033","9.28279635992211",".."
Colombia,"COL","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","27.689162311787","26.8148589146209","26.8954667535946","25.993426836769","23.439238595813","24.5553120236384","26.1230022316952","24.6925648854384","23.0607806747001",".."
Colombia,"COL","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","14.7171392781975","15.1452897484005","15.8997196775431","15.8680386541241","13.5222755593302","16.1970059548864","20.3883679938331","17.8316784070298","16.0992987183311",".."
Colombia,"COL","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","21.4855137060045","20.1376251940583","20.6350331193542","21.6904953267149","20.5332954086799","23.8621404387264","27.8942871185028","22.5564540863658","20.9261699894576",".."
Colombia,"COL","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","23.1674195572494","21.5993768407696","21.1954755611258","21.3806095458027","19.1281469366662","18.9169518896828","19.7872446007318","16.4396849097732","16.8220284603038",".."
Colombia,"COL","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","24.2234212822217","22.5842862002171","23.4751871681358","25.5753685093786","23.6871303713378","24.1312117246364","25.4074707170723","28.4136914958203","25.9527799503881",".."
Colombia,"COL","Domestic credit provided by financial sector (% of GDP)","FS.AST.DOMS.GD.ZS","..","..","..","..","..","..","..","..","..",".."
Colombia,"COL","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","14.3852129240943","14.8508184070981","14.6098424464284","14.9005246267221","14.0452385597579","14.4462991915374","15.2632926851651","17.5622334373789","15.2812370381266",".."
Colombia,"COL","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","3.07113102611539","3.20809672439436","3.0332327385044","3.14565669372153","3.53440413219336","3.1957582534691","2.79798282722927","2.96545217971359","3.35903368303836",".."
Colombia,"COL","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","123.71","129.272","131.595","132.811","133.661","146.628","156.195","166.98","..",".."
Colombia,"COL","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","10.1857957756345","8.96236276389192","7.22139251354653","9.04845616228861","9.91355157220335","8.20914960906244","8.40182637186439","8.59989159781141","9.02469704912672",".."
Colombia,"COL","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","27.1102054372515","26.6052622479582","27.829891053653","28.5396138086659","27.5559299900549","31.8305052181806","38.8887048469052","30.670080224693","27.1404185028145",".."
Colombia,"COL","Net barter terms of trade index (2015 = 100)","TT.PRI.MRCH.XD.WD","98.9","115.7","126.5","124.8","105.3","126.4","154.1","139.1","..",".."
Colombia,"COL","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","120886231723.7","126232114685.3","133418271143.3","139077632215","155866446816.4","172248574075","184496121410.2","196165876816.2","201763641280.4",".."
Colombia,"COL","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","33.1505406754278","40.907772512707","40.7847562687225","32.9649350870865","50.7683360157448","44.6185424127","33.8039730673688","36.7182409709799","42.9975933296769",".."
Colombia,"COL","Net migration","SM.POP.NETM","104373","431072","495524","396826","227130","199070","183180","154521","141643","129139"
Colombia,"COL","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","5191956875.2388","5818773635.08076","6675079294.04126","7116297148.74071","6924526135.55919","8608268970.88542","9454507516.93043","10111593424.102","11873232976.2659",".."
Colombia,"COL","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","13857937720.8026","13700880445.1997","11298692773.8485","13989154028.3683","7458624984.21929","9561335276.67571","17182225497.9059","16793702728.5038","13683861747.2544",".."
Colombia,"COL","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","1106493774.41406","850370117.1875","1780952026.36719","874643737.792969","1870366821.28906","1918059448.24219","1884557373.04688","1031310791.01563","..",".."
Costa Rica,"CRI","Population, total","SP.POP.TOTL","4866998","4913177","4957818","4999553","5034320","5059988","5081765","5105525","5129910",".."
Costa Rica,"CRI","Population growth (annual %)","SP.POP.GROW","1.01105286688192","0.944345948457895","0.904494518403601","0.838278384859255","0.6929953994471","0.508564932290693","0.429453043658398","0.46646444898736","0.476482848761595",".."
Costa Rica,"CRI","Surface area (sq. km)","AG.SRF.TOTL.K2","51100","51100","51100","51100","51100","51100","51100","51100","..",".."
Costa Rica,"CRI","Population density (people per sq. km of land area)","EN.POP.DNST","95.3191931061496","96.2235996866432","97.0978848413631","97.9152565609087","98.5961613787701","99.0988640814728","99.5253623188406","99.9906972189581","..",".."
Costa Rica,"CRI","Poverty headcount ratio at national poverty lines (% of population)","SI.POV.NAHC","22.9","22.1","22.9","23.9","30","26.2","25.5","24.4","20.3",".."
Costa Rica,"CRI","Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population)","SI.POV.DDAY","2.4","1.7","2.3","1.7","3.4","2.2","1.6","1.5","1.3",".."
